instrumento,nome_original,natureza,situacao_cadastro,situacao_operacional,situacao_hga_ultima,data_atualizacao_cadastro,localidade,x,y,profundidade_m,fonte_recente,leituras,primeira,ultima,dias_sem_leitura,cadencia_mediana_dias,recebimento,repeticao_final_n,repeticao_final_dias,repeticao_no_fundo,zero_auto_persistente,outliers_fortes,datas_futuras,na_negativo,inconsistencia_cota,janela_qaqc_dias,ptr_mais_proximo,dist_ptr_m,status_qaqc,score,motivos
0029-INA-133,INA_S_133,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,656076.604000021,7767422.7349992,25.15,Automático,2018,2018-09-11,2026-08-20,8.0,1.0,ATRASADO,1,0,False,False,0,0,0,0,90,G00-11PTR005,806.0179617223845,ATENÇÃO,3,Recebimento atrasado (8 dias sem leitura)
0029-INA-134,INA_S_134,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Sul,655963.152000024,7767293.2089992,39.7,Automático,1889,2018-09-11,2026-08-20,8.0,1.0,ATRASADO,1,0,False,False,0,0,0,0,90,G00-11PTR005,645.6427539350154,ATENÇÃO,3,Recebimento atrasado (8 dias sem leitura)
0029-INA-165,,INA,Ativo,Ativo,Ativo,,Alegria Sul,655118.432000039,7765028.04599973,76.55,Histórico,107,2024-03-03,2026-05-27,93.0,7.0,ATRASADO,1,0,False,False,0,0,0,0,180,G00-11PTR020,758.201409182251,ATENÇÃO,3,Recebimento atrasado (93 dias sem leitura)
0029-INA-175,,INA,Ativo,Ativo,Ativo,,Alegria Sul,655117.003000006,7765027.89999973,96.44,Histórico,112,2024-03-03,2026-05-27,93.0,7.0,ATRASADO,1,0,False,False,0,0,0,0,180,G00-11PTR020,759.373812681389,ATENÇÃO,3,Recebimento atrasado (93 dias sem leitura)
30LI009,INA_JM_63/1130-INA-063,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,655297.310000014,7768953.75999947,50.1,Automático,284,2016-04-25,2026-08-21,7.0,1.0,ATRASADO,0,0,False,False,0,0,0,0,90,G00-11PTR014,1228.2198580780096,ATENÇÃO,3,Recebimento atrasado (7 dias sem leitura)
30LI018,INA_JM_91/1130-INA-091,INA,Ativo,Ativo,Ativo,2020-10-21,Joao Manoel,656446.630000012,7768732.93999946,61.35,Histórico,50,2013-08-05,2026-04-10,140.0,21.0,ATRASADO,0,0,False,False,0,0,0,0,180,G00-11PTR009,420.59972659052596,ATENÇÃO,3,Recebimento atrasado (140 dias sem leitura)
G00-11PTR009,PTR_N_09,Poco Tubular,Ativo,Ativo,Ativo,2022-07-22,Alegria Norte,656717.650000015,7769054.57999947,265.0,Automático,2256,2021-03-01,2026-08-27,1.0,1.0,RECEBENDO,88,89,False,True,0,0,0,0,90,G00-11PTR009,0.0,ATENÇÃO,3,Zero automático persistente em poço tubular; conferir significado/integração do canal
G00-11PTR010,PTR_N_10,Poco Tubular,Ativo,Ativo,Ativo,2022-07-22,Alegria Norte,656911.520000008,7769278.80999947,265.0,Automático,2390,2020-07-14,2026-08-27,1.0,1.0,RECEBENDO,88,89,False,True,0,0,0,0,90,G00-11PTR010,0.0,ATENÇÃO,3,Zero automático persistente em poço tubular; conferir significado/integração do canal
G00-11PTR011,PTR_N_11,Poco Tubular,Ativo,Ativo,Ativo,2022-07-22,Alegria Norte,657019.870000018,7769531.24999947,210.0,Automático,2316,2021-02-02,2026-08-27,1.0,1.0,RECEBENDO,88,89,False,True,0,0,0,0,90,G00-11PTR011,0.0,ATENÇÃO,3,Zero automático persistente em poço tubular; conferir significado/integração do canal
G00-11PTR012,PTR_N_12,Poco Tubular,Ativo,Ativo,Ativo,2022-07-22,Alegria Norte,656726.800000018,7769323.81999947,253.0,Automático,2302,2021-03-01,2026-08-27,1.0,1.0,RECEBENDO,88,89,False,True,0,0,0,0,90,G00-11PTR012,0.0,ATENÇÃO,3,Zero automático persistente em poço tubular; conferir significado/integração do canal
G00-11PTR014,PTR_N_14,Poco Tubular,Ativo,Ativo,Ativo,,Alegria Norte,656486.80400004,7769259.74699867,263.0,Automático,1018,2024-01-03,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,18,0,90,G00-11PTR014,0.0,ATENÇÃO,3,18 leitura(s) de NA negativa(s)
G00-11PTR020,G00-11PTR020,Poco Tubular,Ativo,Ativo,Ativo,,Alegria Sul,655778.38400009,7764654.77299707,284.0,Automático,88931,2026-03-12,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,10,0,90,G00-11PTR020,0.0,ATENÇÃO,3,10 leitura(s) de NA negativa(s)
0027-INA-085,INA_N_85,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656900.927000003,7769255.63699973,200.0,Automático,2002,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,2,0,0,0,90,G00-11PTR010,25.479394930798332,OBSERVAR,1,2 outlier(s) forte(s) nas últimas 180 dias para revisão
0027-INA-130,INA_N_130,INA,Ativo,Ativo,Ativo,2021-02-12,Alegria Norte,657060.241000006,7769583.91899973,105.0,Manual,220,2017-02-07,2026-08-20,8.0,15.0,RECEBENDO,12,163,True,False,0,0,0,0,180,G00-11PTR011,66.3614438388113,OBSERVAR,1,Leitura repetida no limite de profundidade (105.00 m ≈ 105.00 m); pode indicar ponto seco
0027-INA-018,INA_N_18,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656565.264,7769443.61999974,120.0,Automático,2560,2014-11-18,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR015,175.80849282671758,OK,0,Sem sinais automáticos relevantes
0027-INA-020,INA_N_20,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656536.628000008,7769414.00099974,121.0,Automático,2360,2015-07-28,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,162.10098031515406,OK,0,Sem sinais automáticos relevantes
0027-INA-021B,INA_N_21B,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656460.080000004,7769379.84599973,122.0,Automático,2265,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,123.03634517325607,OK,0,Sem sinais automáticos relevantes
0027-INA-034,INA_N_34,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656064.298000003,7769131.62099973,180.0,Automático,1972,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,441.506049416701,OK,0,Sem sinais automáticos relevantes
0027-INA-042,INA_JM_42,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,657158.759000032,7768982.71499894,60.05,Automático,1825,2016-04-25,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR010,385.7452170429216,OK,0,Sem sinais automáticos relevantes
0027-INA-051B,INA_N_51B,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656662.371000009,7769297.70299973,150.0,Automático,2168,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR015,34.81495174594467,OK,0,Sem sinais automáticos relevantes
0027-INA-052,INA_N_52A,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,655228.853000002,7769362.58799973,200.15,Automático,2210,2014-10-13,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,1262.1477686847775,OK,0,Sem sinais automáticos relevantes
0027-INA-055,INA_N_55,INA,Ativo,Ativo,Ativo,2020-10-21,Alegria Norte,656324.641000002,7769439.76899973,212.0,Automático,2484,2014-10-09,2026-08-27,1.0,1.0,RECEBENDO,1,0,False,False,0,0,0,0,90,G00-11PTR014,242.29065076310914,OK,0,Sem sinais automáticos relevantes
